ordinal,scenario,dataset,dsm_mode_tag,residual,fusion,batch_size,model,optimizer,learning_rate,epochs,num_classes,accuracy,precision,recall,macro_f1,macro_f2,mcc,mae,rmse,off_by_one_accuracy,qwk,linear_kappa,spearman,cm00,cm01,cm10,cm11,confusion_matrix_json,best_val_metric,best_val_epoch,monitor_metric,train_time_sec,num_test_samples,predictions_csv,result_dir
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Nadam,0.0001,100,5,0.38863976083707025,0.394488854434316,0.2884482902571193,0.2471210946308398,0.2555339151004879,0.544213313748026,0.8774289985052317,1.2510085617311593,0.8026905829596412,0.28481963582564107,0.17045779205519251,0.32405370644283044,0,0,0,0,"[[274, 103, 6, 2, 0], [661, 721, 15, 3, 1], [168, 292, 11, 1, 1], [63, 173, 6, 4, 1], [24, 70, 17, 29, 30]]",0.3627870751971932,59,val_qwk,97.39285397529602,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Nadam,0.001,100,5,0.4155455904334828,0.3857885073699001,0.28551165518444016,0.25804600526633115,0.2639131643952644,0.5413416579207591,0.8224962630792227,1.1924337951244328,0.8183856502242153,0.2990068957996509,0.17458775466045406,0.32418695978072115,0,0,0,0,"[[232, 144, 7, 2, 0], [540, 831, 28, 2, 0], [123, 334, 14, 1, 1], [45, 191, 7, 2, 2], [14, 76, 25, 22, 33]]",0.36093191431941507,39,val_qwk,33.584797859191895,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Nadam,0.001,100,5,0.4678624813153961,0.409323568805336,0.30231875475306147,0.2701493488478445,0.2811247204969515,0.5661177229717586,0.7526158445440957,1.1397164832458824,0.828101644245142,0.31411329569787816,0.2030607875193119,0.3732919295388273,0,0,0,0,"[[243, 135, 7, 0, 0], [417, 970, 12, 2, 0], [89, 373, 10, 0, 1], [31, 208, 6, 2, 0], [11, 77, 34, 21, 27]]",0.3903218656557631,64,val_qwk,67.73925232887268,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Nadam,0.001,100,5,0.4936472346786248,0.3951070870811044,0.29971783695468407,0.2815649761033029,0.28687084868371243,0.5697057006866301,0.7077727952167414,1.094557810805722,0.8404334828101644,0.32466627119220437,0.21033462837143047,0.3656610281511596,0,0,0,0,"[[198, 176, 9, 2, 0], [304, 1080, 14, 3, 0], [60, 401, 10, 1, 1], [19, 215, 10, 1, 2], [5, 81, 32, 20, 32]]",0.39643030872527396,43,val_qwk,75.70147562026978,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Adamax,0.0001,100,5,0.3576233183856502,0.32585770998136177,0.25298668302719546,0.18816147286471613,0.21002635057374475,0.5299657239219316,0.9476831091180867,1.3247105332903726,0.7791479820627802,0.20193022887173673,0.11434625389362962,0.2812075976951881,0,0,0,0,"[[283, 95, 6, 1, 0], [715, 658, 23, 3, 2], [198, 265, 9, 1, 0], [76, 161, 10, 0, 0], [37, 73, 34, 19, 7]]",0.26359525083645874,100,val_qwk,57.52849769592285,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Adamax,0.0001,100,5,0.3875186846038864,0.3601799844191315,0.270206006215607,0.2367314395812154,0.24418565743219744,0.5349077909470462,0.8774289985052317,1.2522028422529983,0.8056801195814649,0.2589848408775217,0.15124482331108724,0.2843694414641594,0,0,0,0,"[[239, 136, 8, 2, 0], [609, 752, 31, 4, 5], [151, 301, 19, 1, 1], [63, 168, 12, 3, 1], [26, 67, 25, 28, 24]]",0.3155932140124297,100,val_qwk,75.7014946937561,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Adamax,0.0001,100,5,0.3740657698056801,0.33325840118744404,0.2516018092608382,0.226400878376232,0.23153085263274997,0.5147853183533628,0.8856502242152466,1.2456201293839375,0.8064275037369207,0.2570150154391325,0.13076538894429046,0.25936327109347757,0,0,0,0,"[[200, 173, 9, 1, 2], [605, 760, 25, 7, 4], [145, 314, 11, 2, 1], [56, 181, 6, 2, 2], [17, 78, 17, 30, 28]]",0.3162927863694417,100,val_qwk,113.60710287094116,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Adamax,0.001,100,5,0.429745889387145,0.364152110218885,0.27739151293386055,0.2425233571873641,0.25455642886276914,0.5438378849818246,0.8034379671150972,1.1765013624744916,0.8191330343796711,0.2936798269242281,0.17261171338144599,0.33838808233991513,0,0,0,0,"[[230, 147, 5, 3, 0], [495, 887, 16, 3, 0], [112, 350, 10, 0, 1], [36, 203, 6, 0, 2], [13, 75, 33, 26, 23]]",0.34873583296935196,85,val_qwk,53.743056535720825,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Adamax,0.001,100,5,0.4260089686098655,0.36469201151515485,0.26420810337466455,0.23174214178856953,0.24341233319741415,0.5359016632837295,0.8097907324364724,1.1848886597583406,0.8191330343796711,0.2715795422435716,0.1554506560780723,0.3075616273663637,0,0,0,0,"[[208, 170, 7, 0, 0], [484, 902, 13, 1, 1], [113, 349, 10, 0, 1], [34, 204, 7, 1, 1], [17, 78, 28, 28, 19]]",0.34212459674044604,39,val_qwk,39.46886205673218,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Adamax,0.001,100,5,0.4581464872944694,0.41844451199304833,0.29712879829398947,0.25623145066551933,0.2715945848942497,0.5620630786022885,0.7668161434977578,1.1534053046139114,0.8262331838565022,0.30529108677998384,0.19591251957813138,0.3887542757589459,0,0,0,0,"[[258, 123, 4, 0, 0], [454, 937, 8, 2, 0], [94, 370, 8, 1, 0], [26, 212, 6, 3, 0], [15, 81, 31, 23, 20]]",0.35824252395789036,47,val_qwk,66.62906074523926,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.001_bs64
True,5,dataset_16,dsm_density,True,concat,256,FCSNN,Adam,0.0001,100,5,0.33408071748878926,0.31115153387522326,0.2581442217841272,0.1681829847708585,0.19734191840513607,0.5340655413599568,1.0100896860986548,1.3970661122413264,0.7612107623318386,0.1660784899143617,0.10023890870741747,0.2994125463013275,0,0,0,0,"[[336, 47, 2, 0, 0], [836, 552, 9, 3, 1], [233, 237, 3, 0, 0], [92, 151, 4, 0, 0], [57, 75, 25, 10, 3]]",0.23773211392246918,52,val_qwk,36.36753177642822,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs256
True,5,dataset_16,dsm_density,True,concat,128,FCSNN,Adam,0.0001,100,5,0.3703288490284006,0.3264956037374439,0.2686784243193726,0.1921200429794055,0.21872193926887848,0.5419126557064461,0.9357249626307922,1.3230168903221637,0.78101644245142,0.2095717213176782,0.1289945701766838,0.3207251725185971,0,0,0,0,"[[316, 63, 6, 0, 0], [719, 662, 15, 3, 2], [191, 275, 7, 0, 0], [75, 165, 7, 0, 0], [38, 80, 26, 20, 6]]",0.2875387688868124,35,val_qwk,37.12075233459473,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs128
True,5,dataset_16,dsm_density,True,concat,64,FCSNN,Adam,0.0001,100,5,0.32286995515695066,0.3509064021270499,0.2724504227961881,0.21419732098209066,0.22382220611419287,0.5324458063874691,1.000747384155456,1.3652750945164953,0.7694319880418535,0.23109508002715262,0.13084807201672344,0.29201443135527777,0,0,0,0,"[[310, 68, 5, 2, 0], [855, 514, 19, 8, 5], [234, 225, 11, 3, 0], [105, 133, 6, 2, 1], [40, 57, 28, 18, 27]]",0.2974585483086478,26,val_qwk,44.607526779174805,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs64
True,5,dataset_16,dsm_density,True,concat,256,FCSNN,Adam,0.001,100,5,0.3968609865470852,0.37707368083714404,0.2811555566402831,0.2355299840918454,0.24850835657209142,0.5414006300496594,0.867339312406577,1.2409613419913172,0.8004484304932735,0.2724816434777446,0.1589390844549743,0.33100624775925885,0,0,0,0,"[[269, 111, 4, 1, 0], [622, 761, 14, 3, 1], [160, 306, 5, 2, 0], [53, 185, 5, 3, 1], [20, 78, 29, 19, 24]]",0.34408026663134583,52,val_qwk,37.5162398815155,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.001_bs256
